driverId,name,number,code,forename,surname,birthdate,nationality
1,hamilton,44,HAM,Lewis,Hamilton,07/01/1985,British
2,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German
3,rosberg,6,ROS,Nico,Rosberg,27/06/1985,German
12,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian
4,alonso,14,ALO,Fernando,Alonso,29/07/1981,Spanish
5,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish
6,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese
7,bourdais,,BOU,S̩bastien,Bourdais,28/02/1979,French
8,raikkonen,7,RAI,Kimi,R�_ikk̦nen,17/10/1979,Finnish
9,kubica,,KUB,Robert,Kubica,07/12/1984,Polish
10,glock,,GLO,Timo,Glock,18/03/1982,German
11,sato,,SAT,Takuma,Sato,28/01/1977,Japanese
13,massa,19,MAS,Felipe,Massa,25/04/1981,Brazilian
14,coulthard,,COU,David,Coulthard,27/03/1971,British
15,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian
16,sutil,99,SUT,Adrian,Sutil,11/01/1983,German
17,webber,,WEB,Mark,Webber,27/08/1976,Australian
18,button,22,BUT,Jenson,Button,19/01/1980,British
